id,url,title_korean,title_japanese,title_english,format,status,year,quarter,start_date,end_date,total_episodes,duration,genres,tags,synopsis,num_characters,main_characters,director,studio,original_work,error
103,https://anilife.app/content/103?tab=info,블라드 러브,ぶらどらぶ,Vlad Love,,,,,,,,,코미디|초자연,뱀파이어|때림 개그|여성 주인공|풍자|메타|괴상한 코미디|풍자|주로 여성 캐스트|학교 클럽|마이 톰보이|연기|학교|교육|도시|LGBTQ+ 주제|도시 판타지|코스프레|대학|용|비디오 게임,등록된 줄거리가 없습니다.,6,밤바 미츠구(사쿠라 아야네)|트란실바니아 블라드 마이(히다카 리나)|치마츠리 치히로(박로미)|스미다 진코(히카사 요우코)|와타베 마키(하야미 사오리),니시무라 준지,"드라이브, 프로덕션 I.G, 이치고 애니메이션, 만화 애니메이션",오시이 마모루,
109,https://anilife.app/content/109?tab=info,힐링굿♡프리큐어,ヒーリングっど♥プリキュア,Healin' Good♥Precure,,,,,,,,,액션|판타지|마법 소녀,주로 여성 캐스트|변신|여성 주인공|동물|마법|슈퍼히어로|의학|환경|에피소딕|어린이|귀여운 소녀들의 귀여운 일상|이야시케이|주로 아이 캐스트|해안|여관|CGI|이세계|토쿠사츠,파트너는 동물!? 힐링 애니멀과 힘을 합쳐 소중한 지구를 치료하자!(パートナーは動物⁉︎ ヒーリングアニマルと力を合わせて大切な地球をお手当て!),6,하나데라 노도카(유우키 아오이)|히라미츠 히나타(카와노 히요리)|사와이즈미 치유(이다 나츠)|라비린(카쿠마 아이)|냐토란(칸다 아키),이케다 요우코,"토에이 애니메이션, TV 아사히, ADK 이모션즈, ABC 애니메이션",토도 이즈미,
105,https://anilife.app/content/105?tab=info,포켓몬스터W,ポケットモンスター (2019),Pocket Monsters (2019),,,,,,,,,액션|모험|코미디|판타지,동물|에피소딕|주로 아이 캐스트|어린이|남성 주인공|메타|때림 개그|시골|야외|도시 판타지|여행|불량배|환경|연령 감소|병렬 우주|사이버펑크,物語はすべてのポケモンの世界へ이야기는 모든 포켓몬의 세계로,6,사토시(마츠모토 리카)|피카츄(오오타니 이쿠에)|고우(야마시타 다이키)|사쿠라기 코하루(하나자와 카나)|무사시(하야시바라 메구미),,"OLM, TV 도쿄, 미디어넷",타지리 토모,
104,https://anilife.app/content/104?tab=info,보루토: 나루토 넥스트 제너레이션즈,BORUTO-ボルト- NARUTO NEXT GENERATIONS,BORUTO: NARUTO NEXT GENERATIONS,,,,,,,,,액션|모험|판타지,소년 만화|닌자|슈퍼 파워|남성 주인공|주로 아이 캐스트|검술|신들|무술|외계인|시대착오성|입양|시간 조작|공룡|에피소딕|다중 인격|학교,"나루토 : ""사스케는 내 평생의 라이벌이야! 그건 지금까지도 변하지 않아.""원작자 키시모토 마사시가 그린 ""7대 호카게와 주홍빛 3월""(사라다 외전) 中",6,우즈마키 보루토(미포빈 유호코)|우치하 사라다(키쿠치 코코로)|미츠키(키지마 류이치)|카와키(우치다 유마)|우치하 사스케(스기야마 노리아키),,"스튜디오 피에로, 애니플렉스, 비즈 미디어, TV 도쿄, 라쿠온샤, 슈에이샤",키시모토 마사시,
129,https://anilife.app/content/129?tab=info,매지컬 파티,MAZICA PARTY,MAZICA PARTY,,,,,,,,,모험,어린이|카드 전투|마법|이세계|동물,등록된 줄거리가 없습니다.,6,바루냐(타케우치 준코)|쿠랏치(후네토 유리에)|칸나(나가에 리카)|실버(니시야마 코타로)|케즈루(코마츠 미카코),고신지,OLM,,
114,https://anilife.app/content/114?tab=info,(더빙판)스파이 패밀리 1기,SPY×FAMILY,SPY×FAMILY,,,,,,,,,액션|코미디|일상|초자연,간첩|가정 생활|찾은 가족|암살자|입양|음모|여성 주인공|남성 주인공|때림 개그|범죄|외국|도시|소년 만화|앙상블 캐스트|학교|슈퍼 파워|괴상한 코미디|이성애|풍자|정치|에피소딕|총|도시 판타지|무술|고아|왕따|츤데레,"사람은 누구나 아무에게도보여줄 수 없는 자신을 갖고 있다.세계 각국이 물밑에서 치열하게 정보전을 펼치는 시대.오스타니아와 웨스탈리스는 십수 년간에 걸쳐 냉전 상태에 있었다.웨스탈리스의 정보국 대동과 'WISE' 소속의 수완가 스파이인 '황혼' 은동서 평화를 위협하는 위험인물, 오스타니아의 국가통일당 총재 도노반 데스몬드의 동향을 살피기 위해어떤 극비 임무를 수행하게 된다.그 이름은 오퍼레이션 '올빼미'.임무 내용은 """"일주일 이내에 가족을 만들어,데스몬드의 아들이 다니는 명문 학교의 친목회에 잠입하라"""".'황혼' 은 정신과 의사 로이드 포저로 위장하고 가족을 만들게 된다.하지만, 그가 만난 딸 아냐는 마음을 읽을 수 있는 초능력자, 아내 요르는 암살자였다!3명의 이해가 일치하여 서로 정체를 숨기면서 함께 생활하게 되는데.해프닝 연속인 임시 가족에게, 세계의 평화는 맡겨졌다.",0,,,"클로버웍스, 위트 스튜디오, TV 도쿄, 슈에이샤, 토호, 쇼가쿠칸 슈에이샤 프로덕션",,
115,https://anilife.app/content/115?tab=info,섀도 하우스 1기,シャドーハウス,Shadows House,,,,,,,,,판타지|공포|미스터리|일상|초자연,음모|노예 제도|메이드|여성 주인공|집사|기억 조작|주로 아이 캐스트|도시 판타지|청년|오조우-사마|죽음의 게임|요정|마약|기억상실|비극|쿠데레|우주 공포|악마,"이 저택에는 비밀이 숨겨져 있다.벼랑 끝에 서 있는 커다란 저택 '섀도 하우스'에서 귀족을 흉내 내는, 얼굴이 없는 일족 '섀도'.그들의 '얼굴'로서 섀도를 섬기는 시중 담당 '살아 있는 인형'.어느 날, 섀도 일족의 소녀 케이트에게 한 명의 살아 있는 인형이 찾아오게 되고,그렇게 그림자와 인형의 기묘한 일상이 시작되었다.기묘한 고딕 미스터리, 드디어 애니화!",6,에밀리코(시노하라 유)|케이트(키토 아카리)|숀(사카이 코우다이)|존(사카이 코우다이)|루(사쿠라 아야네),오하시 카즈키,"클로버웍스, 애니플렉스, 퍼니메이션, 슈에이샤, WOWOW, 도쿄 MX, BS 아사히",소마토,
122,https://anilife.app/content/122?tab=info,괴병의 라무네,怪病医ラムネ,Kai Byoui Ramune,,,,,,,,,드라마|심리|초자연,도시 판타지|남성 주인공|마법|에피소딕|풍자|음식|의학|장애|유령|소년 만화,"사람에게 마음이 있는 한 근심, 걱정을 끌어안고 사는 사람 또한 나온다. 그곳에 '괴이'가 파고들어 몸에 기묘한 병들을 일으킨다.'괴병'이라 불리는 그 병은 사람들에겐 알려져 있지 않지만, 확실하게 존재하고 있다.현대 의학으론 고칠 방법을 찾을 수 없는 그런 병에 제자와 함께 맞서 싸우는 의사가 있었다. 그 이름은 라무네. 겉보기엔 전혀 의사처럼 보이지 않고,언제나 제멋대로 행동하는 데다 입버릇도 나쁘다.그래도 일단 괴병과 마주하면 환자들이 마음속 깊은 곳에 감추고 있던 고민의 원인을순식간에 파헤쳐 치료한다.그런 그들의 앞에 있는 건....",6,쿠로(나가츠카 타쿠마)|라무네(우치다 유마)|니코(오카모토 노부히코)|아야메(우에다 카나)|모미지(스와부 준이치),오오타니 히데아키,"플래티넘 비전, 크런치롤",아호 토로,
116,https://anilife.app/content/116?tab=info,Vivy -Fluorite Eye’s Song-,Vivy -Fluorite Eye’s Song-,Vivy: Fluorite Eye’s Song,,,,,,,,,액션|드라마|음악|SF|스릴러,인공 지능|로봇|여성 주인공|시간 조작|비극|시간 건너뛰기|철학|테러리즘|디스토피아|뮤지컬|사이버펑크|쿠데레|주로 여성 캐스트|인간화|기억 조작|음모|아이돌|다중 인격|재활|정치|무술|성장기|기억상실|자살|신체 교환|우주|CGI|갱단,노래로 모두를 행복하게 해주기 위해.'니아랜드' 그곳은 꿈과 희망과 과학이 뒤섞인 AI 복합 테마파크.사상 최초의 인간형 자율 AI로 만들어져 시설의 AI 캐스트로서 활동하는 비비는 매일 노래하기 위해 계속해서 무대에 올랐다. 하지만 사람들에게 인기는 없었다.'노래로 모두를 행복하게 해주는 것'.자신이 부여받은 그 사명을 완수하기 위해 언젠가 마음이 담긴 노래를 불러서언젠가 파크 안에 있는 메인 스테이지에 오르는 것을 목표로 노래를 계속하는 비비.어느 날 그런 비비의 앞에 마츠모토라고 자신을 소개한 AI가 나타난다.마츠모토는 자신이 100년 후의 미래에서 온 AI라고 말하고 그의 사명이 '비비와 함께 역사를 수정하고100년 후의 일어날 AI와 인간의 전쟁을 막는 것'이라고 밝힌다.과연 서로 다른 사명을 가진 두 AI의 만남은 미래를 어떻게 다시 그려낼 것인가.이것은 내(비비)가 나(AI)를 멸하는 이야기 비비의 백 년 여행이 시작된다....,6,비비(타네자키 아츠미)|마츠모토(후쿠야마 준)|에스텔라(히카사 요우코)|그레이스(아키사카 사토미)|오필리아(히다카 리나),에자키 신페이,"위트 스튜디오, 애니플렉스, 애니플렉스 미국",,
119,https://anilife.app/content/119?tab=info,일하는 세포 BLACK,はたらく細胞BLACK,Hataraku Saibou BLACK,,,,,,,,,액션|드라마|SF,교육|디스토피아|비극|청년|일|주로 어른 캐스트|인간화|의학|고어|마약|남성 주인공|생존|에피소딕|병렬 우주|변신|여성 주인공|자살|총,"매일 부지런히 온몸으로 산소를 나르는 신참 적혈구.그러나 그의 직장의 노동환경은, 철저하게 블랙-!음주, 흡연, 스트레스, 수면부족...건강하지 못한 종합 상사와 같은 세계에서 과중 노동 끝에 세포들은 무엇을 생각할까?이것은 당신의 몸의 이야기-!",6,AA2153 섹케큐우(에노키 준야)|U-1196 핫케쿄우(히카사 요우코)|내레이터(츠다 켄지로)|AC1677 셋켁큐우(KENN)|8787 핫케쿄(Lynn),야마모토 히데요,"라이덴필름, 애니플렉스, 코단샤, 도쿄 MX, 넷이즈",,
